id,title,description,category,location_name,location_address,current_lat,current_lon,lat,lon,date,time,organizer,attendees,maxAttendees,needs_geocoding
imported-1755246058431-yi7rctard,Tallinn,Location: Tüpograafia linnalaager noortele Eesti Tarbekunsti- ja Disainimuuseumis,art,Tüpograafia linnalaager noortele Eesti Tarbekunsti- ja Disainimuuseumis,Tüpograafia linnalaager noortele Eesti Tarbekunsti- ja Disainimuuseumis,59.436962,24.753574,59.4416,24.7947,2025-08-11,12:00,Local Organizer,168,,True
imported-1755246058431-ytyy2l2vn,Pisikeste printsesside linnalaager “Printsessi tantsukool”,Location: KOIT TANTSUKOOL,other,KOIT TANTSUKOOL,KOIT TANTSUKOOL,59.436962,24.753574,59.424169,24.743037,2025-08-11,12:00,Local Organizer,83,,True
imported-1755246058431-7qvwhi9xj,Nõmme Maja,Location: Kummituste jaht Tallinna vanalinnas,other,Kummituste jaht Tallinna vanalinnas,Kummituste jaht Tallinna vanalinnas,59.436962,24.753574,59.4372,24.7453,2025-08-11,12:00,Local Organizer,160,,True
imported-1755246058431-89tmxsvmn,Kummituste jaht Tallinna vanalinnas,Location: Kummituste jaht Tallinna vanalinnas,other,Kummituste jaht Tallinna vanalinnas,Kummituste jaht Tallinna vanalinnas,59.436962,24.753574,59.4372,24.7453,2025-08-11,00:00,Local Organizer,168,,True
imported-1755246058431-s8fus3bvt,Pimesiku Seiklus,Location: telliskivi väljak,other,telliskivi väljak,telliskivi väljak,59.436962,24.753574,59.4378,24.7536,2025-08-11,00:00,Local Organizer,194,,True
imported-1755246058431-732h8zszc,Seikluslik Vanalinnamäng,Location: Seikluslik Vanalinnamäng,other,Seikluslik Vanalinnamäng,Seikluslik Vanalinnamäng,59.436962,24.753574,59.4372,24.7453,2025-08-11,00:00,Local Organizer,158,,True
imported-1755246058431-qpb21als0,KOIT TANTSUKOOL,Location: Tüpograafia suvelaager noortele,other,Tüpograafia suvelaager noortele,Tüpograafia suvelaager noortele,59.436962,24.753574,59.437,24.754,2025-08-11,12:00,Local Organizer,158,,True
imported-1755246058431-py63nr442,Ekskursioon: Kopli kriminaalne ajalugu,Location: Ekskursioon: Kopli kriminaalne ajalugu,other,Ekskursioon: Kopli kriminaalne ajalugu,Ekskursioon: Kopli kriminaalne ajalugu,59.436962,24.753574,59.4289,24.7536,2025-08-12,20:00,Local Organizer,106,,True
imported-1755246058431-ryql48x9z,Kari 13,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-12,12:00,Local Organizer,121,,True
imported-1755246058431-j2x0trh2r,Fotografiska Tallinn,Location: Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,other,Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,59.436962,24.753574,59.4372,24.7453,2025-08-12,12:00,Local Organizer,64,,True
imported-1755246058431-hliu0fpu3,Hirvepark,Location: The Rock Orchestra by Candlelight / Rockorkester küünlavalgel,music,The Rock Orchestra by Candlelight / Rockorkester küünlavalgel,The Rock Orchestra by Candlelight / Rockorkester küünlavalgel,59.436962,24.753574,59.4378,24.7536,2025-08-12,12:00,Local Organizer,198,,True
imported-1755246058431-cxcmdkh3o,Hundipea,Location: Võrkpalli avatud treening lastele ja noortele,other,Võrkpalli avatud treening lastele ja noortele,Võrkpalli avatud treening lastele ja noortele,59.436962,24.753574,59.437,24.754,2025-08-12,12:00,Local Organizer,197,,True
imported-1755246058431-lbunf5ecy,Kadaka staadion,Location: Veebikohtumine Noortepäeva kiirkohting,other,Veebikohtumine Noortepäeva kiirkohting,Veebikohtumine Noortepäeva kiirkohting,59.436962,24.753574,59.437,24.754,2025-08-12,12:00,Local Organizer,201,,True
imported-1755246058431-6zx88ogqs,Kopli 100b,Location: Kummituste jaht Tallinna vanalinnas,other,Kummituste jaht Tallinna vanalinnas,Kummituste jaht Tallinna vanalinnas,59.436962,24.753574,59.4372,24.7453,2025-08-12,12:00,Local Organizer,49,,True
imported-1755246058431-idy17o2jk,Tallinna Lilleküla Gümnaasium,Location: Lõputuur: Ukraina kaasaegne fotokunst Fotografiskas,art,Lõputuur: Ukraina kaasaegne fotokunst Fotografiskas,Lõputuur: Ukraina kaasaegne fotokunst Fotografiskas,59.436962,24.753574,59.4378,24.7536,2025-08-12,12:00,Local Organizer,25,,True
imported-1755246058431-sgiorggky,Ratas&Kohv,Location: Eksperimentaalse muusika õhtu. TALLINN - NEW YORK,music,Eksperimentaalse muusika õhtu. TALLINN - NEW YORK,Eksperimentaalse muusika õhtu. TALLINN - NEW YORK,59.436962,24.753574,59.4378,24.7536,2025-08-12,12:00,Local Organizer,28,,True
imported-1755246058431-eg6gs7dvu,Stuudio dotE MTÜ,Location: Stuudio dotE MTÜ,other,Stuudio dotE MTÜ,Stuudio dotE MTÜ,59.436962,24.753574,59.437,24.754,2025-08-12,12:00,Local Organizer,82,,True
imported-1755246058431-z18rgn4ru,TUUM Teraapiaruum,Location: FBR | Hingamisrännak 12.08 (PORTAAL),other,FBR | Hingamisrännak 12.08 (PORTAAL),FBR | Hingamisrännak 12.08 (PORTAAL),59.436962,24.753574,59.437,24.754,2025-08-12,12:00,Local Organizer,198,,True
imported-1755246058431-junt97akg,Tallinna Kirjanduskeskus,Location: Tantsuline linnalaager 7-10-aastastele lastele (Tallinnas) I VAHETUS,other,Tantsuline linnalaager 7-10-aastastele lastele (Tallinnas) I VAHETUS,Tantsuline linnalaager 7-10-aastastele lastele (Tallinnas) I VAHETUS,59.436962,24.753574,59.4372,24.7453,2025-08-12,12:00,Local Organizer,158,,True
imported-1755246058431-aom20t7ef,Tallinna raekoda,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-12,12:00,Local Organizer,140,,True
imported-1755246058431-4ebyvbo2l,Teadus- ja ärilinnak Tehnopoli roheala,Location: Näitus Modernistlik keskaeg Tallinna raekojas,art,Näitus Modernistlik keskaeg Tallinna raekojas,Näitus Modernistlik keskaeg Tallinna raekojas,59.436962,24.753574,59.4372,24.7453,2025-08-12,12:00,Local Organizer,173,,True
imported-1755246058431-k7w33ks8j,Üks Maja,Location: pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,other,pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,59.436962,24.753574,,,2025-08-12,12:00,Local Organizer,34,,True
imported-1755246058431-ifbd0381f,pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,Location: pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,other,pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,pUnTSoMaaNia x Kohtingulood @Ratas & Kohv,59.436962,24.753574,,,2025-08-12,19:00,Local Organizer,22,,True
imported-1755246058431-jz5ahzowu,Lastemuuseum Miiamilla,Location: Da Vinci Genius / Time Slot ehk Kindla sisenemisajaga pilet,art,Da Vinci Genius / Time Slot ehk Kindla sisenemisajaga pilet,Da Vinci Genius / Time Slot ehk Kindla sisenemisajaga pilet,59.436962,24.753574,59.437,24.754,2025-08-12,12:00,Local Organizer,182,,True
imported-1755246058431-is9g3ug1n,Stuudio Portaal,Location: Kesklinna joogatrenn,other,Kesklinna joogatrenn,Kesklinna joogatrenn,59.436962,24.753574,59.437,24.7536,2025-08-12,12:00,Local Organizer,58,,True
imported-1755246058431-5z4k1ezi9,Tallinna Kirjanduskeskuse linnalaager: Kadrioru loomasõprade laager,Location: Tallinna Kirjanduskeskus,other,Tallinna Kirjanduskeskus,Tallinna Kirjanduskeskus,59.436962,24.753574,59.437,24.7536,2025-08-12,10:00,Local Organizer,188,,True
imported-1755246058431-42g3x7cdu,Tantsuline linnalaager 7-10-aastastele lastele (Tallinnas) I VAHETUS,Location: Stuudio dotE MTÜ,other,Stuudio dotE MTÜ,Stuudio dotE MTÜ,59.436962,24.753574,59.437,24.754,2025-08-12,10:00,Local Organizer,23,,True
imported-1755246058431-yix9kfooa,Tõuksitrennid Põhja-Tallinnas,Location: Tõuksitrennid Põhja-Tallinnas,other,Tõuksitrennid Põhja-Tallinnas,Tõuksitrennid Põhja-Tallinnas,59.436962,24.753574,59.4372,24.7453,2025-08-12,11:00,Local Organizer,41,,True
imported-1755246058431-g3z7b0rgu,Uus kuupäev! Tehnopoli linnaku suvepäev 2025,Location: Teadus- ja ärilinnak Tehnopoli roheala,other,Teadus- ja ärilinnak Tehnopoli roheala,Teadus- ja ärilinnak Tehnopoli roheala,59.436962,24.753574,,,2025-08-12,11:00,Local Organizer,23,,True
imported-1755246058431-ja7grb1dr,Eksperimentaalse muusika õhtu. TALLINN - NEW YORK,Location: Hopneri maja,music,Hopneri maja,Hopneri maja,59.436962,24.753574,59.437,24.754,2025-08-12,19:00,Local Organizer,67,,True
imported-1755246058431-6htq0nzfa,FBR | Hingamisrännak 12.08 (PORTAAL),Location: Stuudio Portaal,other,Stuudio Portaal,Stuudio Portaal,59.436962,24.753574,59.437,24.754,2025-08-12,18:30,Local Organizer,185,,True
imported-1755246058431-piz529him,Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,Location: Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,other,Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,Suvised jooga ja pilatese teisipäevad Põhja-Tallinnas,59.436962,24.753574,59.4372,24.7453,2025-08-12,18:00,Local Organizer,32,,True
imported-1755246058431-buev3ukzz,TALLINN ✨ TÖÖTUBA: Vabanedes väsimusest,Location: TUUM Teraapiaruum,other,TUUM Teraapiaruum,TUUM Teraapiaruum,59.436962,24.753574,59.437,24.754,2025-08-12,18:00,Local Organizer,52,,True
imported-1755246058431-ruzub5bte,Eesti Kunstimuuseum (KUMU),Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-13,12:00,Local Organizer,28,,True
imported-1755246058431-an806tjvf,HUNGR,Location: 'Üksainumas armastus',other,'Üksainumas armastus','Üksainumas armastus',59.436962,24.753574,,,2025-08-13,12:00,Local Organizer,73,,True
imported-1755246058431-0lo3drikm,Inglirand,Location: Tasuta välitreeningud Nõmmel,other,Tasuta välitreeningud Nõmmel,Tasuta välitreeningud Nõmmel,59.436962,24.753574,59.3959,24.6719,2025-08-13,12:00,Local Organizer,81,,True
imported-1755246058431-igpqlc3s4,KGB vangikongid,Location: Mölkky treening,other,Mölkky treening,Mölkky treening,59.436962,24.753574,59.437,24.754,2025-08-13,12:00,Local Organizer,56,,True
imported-1755246058431-e7jdumqy3,Kalma haljak,Location: Üksainumas armastus (kergelt koletu lugu Kalamajast),other,Üksainumas armastus (kergelt koletu lugu Kalamajast),Üksainumas armastus (kergelt koletu lugu Kalamajast),59.436962,24.753574,59.4378,24.7536,2025-08-13,12:00,Local Organizer,121,,True
imported-1755246058431-skrnjkrw6,Paavli Kultuurivabrik,Location: Rene Köster soololavastus Üksinda Kodus,other,Rene Köster soololavastus Üksinda Kodus,Rene Köster soololavastus Üksinda Kodus,59.436962,24.753574,,,2025-08-13,12:00,Local Organizer,33,,True
imported-1755246058431-wkfakysyb,Padu 27a,Location: Kummituste jaht Tallinna vanalinnas,other,Kummituste jaht Tallinna vanalinnas,Kummituste jaht Tallinna vanalinnas,59.436962,24.753574,59.4372,24.7453,2025-08-13,12:00,Local Organizer,87,,True
imported-1755246058431-x8jwobipd,PoCo Pop And Contemporary Art Museum,Location: PoCo Pop And Contemporary Art Museum,other,PoCo Pop And Contemporary Art Museum,PoCo Pop And Contemporary Art Museum,59.436962,24.753574,59.4378,24.7536,2025-08-13,12:00,Local Organizer,209,,True
imported-1755246058431-o9gzwr0b9,Pöörise kvartal,Location: Pöörise kvartal,other,Pöörise kvartal,Pöörise kvartal,59.436962,24.753574,59.4378,24.7536,2025-08-13,12:00,Local Organizer,42,,True
imported-1755246058431-sntdqroig,Stroomi rannapark,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-13,12:00,Local Organizer,98,,True
imported-1755246058431-hxpz376va,Vilde tee 69,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-13,12:00,Local Organizer,112,,True
imported-1755246058431-phcsq4heb,Sumedad suveõhtud Lingu Kaisa aias: Jaan Pehk,Location: Sumedad suveõhtud Lingu Kaisa aias: Jaan Pehk,other,Sumedad suveõhtud Lingu Kaisa aias: Jaan Pehk,Sumedad suveõhtud Lingu Kaisa aias: Jaan Pehk,59.436962,24.753574,,,2025-08-13,20:00,Local Organizer,37,,True
imported-1755246058431-qnzm4x4cl,Kinomaja Bar & Stage,Location: Laval koos KAIT KALLIGA ehk koomiliste sketšide õhtu,other,Laval koos KAIT KALLIGA ehk koomiliste sketšide õhtu,Laval koos KAIT KALLIGA ehk koomiliste sketšide õhtu,59.436962,24.753574,,,2025-08-13,12:00,Local Organizer,71,,True
imported-1755246058431-fh8gltuv7,Pääsküla Raba,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-13,12:00,Local Organizer,134,,True
imported-1755246058431-qnlssi765,Rene Köster soololavastus Üksinda Kodus,Location: Rene Köster soololavastus Üksinda Kodus,other,Rene Köster soololavastus Üksinda Kodus,Rene Köster soololavastus Üksinda Kodus,59.436962,24.753574,,,2025-08-13,19:30,Local Organizer,58,,True
imported-1755246058431-v5ulchwbs,Giidiga tuur PoCos (EESTI k.),Location: PoCo Pop And Contemporary Art Museum,other,PoCo Pop And Contemporary Art Museum,PoCo Pop And Contemporary Art Museum,59.436962,24.753574,59.4378,24.7536,2025-08-13,17:30,Local Organizer,142,,True
imported-1755246058431-5c3dxkv7j,DnD Tallinn @Hopneri Maja - 13.8.2025,Location: Hopneri maja,other,Hopneri maja,Hopneri maja,59.436962,24.753574,,,2025-08-13,18:30,Local Organizer,136,,True
imported-1755246058431-7pr2zhmhj,Kesklinna bachata,Location: Inglirand,other,Inglirand,Inglirand,59.436962,24.753574,59.4416,24.7947,2025-08-13,19:00,Local Organizer,162,,True
imported-1755246058431-ql72usqgl,Hoovikontsert Mustamäel: Birgit Sarrap ja Mihkel Mattisen,Location: Pöörise kvartal,music,Pöörise kvartal,Pöörise kvartal,59.436962,24.753574,59.4378,24.7536,2025-08-13,18:00,Local Organizer,110,,True
imported-1755246058431-0sglb4o7e,Tantsulavastus „Old Fashioned“,Location: Kinomaja Bar & Stage,other,Kinomaja Bar & Stage,Kinomaja Bar & Stage,59.436962,24.753574,59.4375845,24.7499523,2025-08-13,19:00,Local Organizer,61,,True
imported-1755246058431-nd2lud1i1,Gastro Studio,Location: Бизнес-встреча: Оптимизация налогообложения и расходов на фирму,other,Бизнес-встреча: Оптимизация налогообложения и расходов на фирму,Бизнес-встреча: Оптимизация налогообложения и расходов на фирму,59.436962,24.753574,,,2025-08-14,12:00,Local Organizer,188,,True
imported-1755246058431-78evrlr6k,Eesti Loodusmuuseum,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-14,12:00,Local Organizer,72,,True
imported-1755246058431-os746h60q,Cederhelmi park,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-14,12:00,Local Organizer,74,,True
imported-1755246058431-jk8webb8k,Rene Pauli Klaveribaar,Location: Rene Pauli Klaveribaar,other,Rene Pauli Klaveribaar,Rene Pauli Klaveribaar,59.436962,24.753574,,,2025-08-14,21:00,Local Organizer,46,,True
imported-1755246058431-oqlljijes,Cellar Session: Kristiina Valdman duo,Location: Cellar Session: Kristiina Valdman duo,other,Cellar Session: Kristiina Valdman duo,Cellar Session: Kristiina Valdman duo,59.436962,24.753574,,,2025-08-14,21:00,Local Organizer,47,,True
imported-1755246058431-yonyl1xuh,Päikeseloojangu kruiis saksofonihelide saatel,Location: 5sails | Noblessneri sadam,other,5sails | Noblessneri sadam,5sails | Noblessneri sadam,59.436962,24.753574,59.452252,24.728786,2025-08-14,19:30,Local Organizer,171,,True
imported-1755246058431-781l72zuy,Hearts Art Gallery,Location: Hearts Art Gallery,other,Hearts Art Gallery,Hearts Art Gallery,59.436962,24.753574,59.4378,24.7536,2025-08-14,12:00,Local Organizer,207,,True
imported-1755246058431-swnt65h7i,Adamson-Ericu muuseum,Location: Jaapani keele kursus algajatele (A0),art,Jaapani keele kursus algajatele (A0),Jaapani keele kursus algajatele (A0),59.436962,24.753574,,,2025-08-14,12:00,Local Organizer,164,,True
imported-1755246058431-idy1a4mn3,Heldeke!,Location: Kummituste jaht Tallinna vanalinnas,other,Kummituste jaht Tallinna vanalinnas,Kummituste jaht Tallinna vanalinnas,59.436962,24.753574,59.4372,24.7453,2025-08-14,12:00,Local Organizer,86,,True
imported-1755246058431-6qifbrdz5,Jõesuu puhkeala,Location: Laval koos VEIKKO TÄÄRIGA ehk koomiliste sketšide õhtu,other,Laval koos VEIKKO TÄÄRIGA ehk koomiliste sketšide õhtu,Laval koos VEIKKO TÄÄRIGA ehk koomiliste sketšide õhtu,59.436962,24.753574,,,2025-08-14,12:00,Local Organizer,66,,True
imported-1755246058431-wor9kssq7,Kadrioru staadioni parkla,Location: Suveklassika Kadriorus. Helin Hallik (kitarr),other,Suveklassika Kadriorus. Helin Hallik (kitarr),Suveklassika Kadriorus. Helin Hallik (kitarr),59.436962,24.753574,59.4416,24.7947,2025-08-14,12:00,Local Organizer,176,,True
imported-1755246058431-spgqq7994,Restaurant Manna La Roosa,Location: LUULETAJA JA FOTOKUNSTNIKU ULISSES ROLIMI (PORTUGAL) RAAMATU ESITLUS,art,LUULETAJA JA FOTOKUNSTNIKU ULISSES ROLIMI (PORTUGAL) RAAMATU ESITLUS,LUULETAJA JA FOTOKUNSTNIKU ULISSES ROLIMI (PORTUGAL) RAAMATU ESITLUS,59.436962,24.753574,,,2025-08-14,12:00,Local Organizer,189,,True
imported-1755246058431-5gbjigmds,Räägu park,Location: Tantsutrennid Põhja-Tallinnas,other,Tantsutrennid Põhja-Tallinnas,Tantsutrennid Põhja-Tallinnas,59.436962,24.753574,59.4372,24.7453,2025-08-14,12:00,Local Organizer,92,,True
imported-1755246058431-fztf7jzij,Tallinna Lauluväljak,Location: Põhja-Tallinna akustiline kontsert,music,Põhja-Tallinna akustiline kontsert,Põhja-Tallinna akustiline kontsert,59.436962,24.753574,59.4372,24.7453,2025-08-14,12:00,Local Organizer,15,,True
imported-1755246058431-exwoq18s0,Vanalinna Rahva Raamat,Location: Narva mnt rattateede projekteerimistingimuste eelnõu avalik arutelu,other,Narva mnt rattateede projekteerimistingimuste eelnõu avalik arutelu,Narva mnt rattateede projekteerimistingimuste eelnõu avalik arutelu,59.436962,24.753574,,,2025-08-14,12:00,Local Organizer,117,,True
imported-1755246058431-enol7wrw9,Veetorni Aed,Location: Jalgpalli avatud treening lastele ja noortele,sports,Jalgpalli avatud treening lastele ja noortele,Jalgpalli avatud treening lastele ja noortele,59.436962,24.753574,59.437,24.754,2025-08-14,12:00,Local Organizer,152,,True
imported-1755246058431-yp0nvs1xs,Jaapani Kultuuri Koda,Location: Pilatese avatud treening,other,Pilatese avatud treening,Pilatese avatud treening,59.436962,24.753574,59.437,24.754,2025-08-14,12:00,Local Organizer,53,,True
imported-1755246058431-pir60htzm,Fox Den,Location: Rene Pauli Klaveribaar,other,Rene Pauli Klaveribaar,Rene Pauli Klaveribaar,59.436962,24.753574,,,2025-08-14,12:00,Local Organizer,22,,True
imported-1755246058431-vuevkv8ry,Miss World Estonia 2025 grand finale,Location: Restaurant Manna La Roosa,other,Restaurant Manna La Roosa,Restaurant Manna La Roosa,59.436962,24.753574,59.4359474,24.7476593,2025-08-14,19:00,Local Organizer,111,,True
imported-1755246058431-0v8zj2s8r,UUS ekskursioon Mägede ja mere vahel. Ladina kvartali lood,Location: Tallinna Linnaelumuuseum,art,Tallinna Linnaelumuuseum,Tallinna Linnaelumuuseum,59.436962,24.753574,59.4372,24.7453,2025-08-14,15:00,Local Organizer,161,,True
imported-1755246058431-vwhjgzbj6,Jaapani keele kursus algajatele (A0),Location: Jaapani Kultuuri Koda,other,Jaapani Kultuuri Koda,Jaapani Kultuuri Koda,59.436962,24.753574,59.4486174,24.710998,2025-08-14,16:00,Local Organizer,204,,True
imported-1755246058431-r9399awiq,Narva mnt rattateede projekteerimistingimuste eelnõu avalik arutelu,Location: Hopneri maja,other,Hopneri maja,Hopneri maja,59.436962,24.753574,59.4370802,24.7457966,2025-08-14,17:30,Local Organizer,148,,True
imported-1755246058431-pk3cvn1ov,LUULETAJA JA FOTOKUNSTNIKU ULISSES ROLIMI (PORTUGAL) RAAMATU ESITLUS,Location: Hearts Art Gallery,art,Hearts Art Gallery,Hearts Art Gallery,59.436962,24.753574,59.4378,24.7536,2025-08-14,19:00,Local Organizer,193,,True
imported-1755246058431-uh1c89ohj,Kesklinna kepikõnd,Location: Kadrioru staadioni parkla,other,Kadrioru staadioni parkla,Kadrioru staadioni parkla,59.436962,24.753574,59.4416,24.7947,2025-08-14,19:00,Local Organizer,57,,True
imported-1755246058431-wy8g3b8v3,3-käiguline õhtusöök Sinatra Muusika saatel Paivillas. Olari Viikholm…,Location: Paivilla Boutique,music,Paivilla Boutique,Paivilla Boutique,59.436962,24.753574,59.437,24.754,2025-08-14,18:30,Local Organizer,182,,True
imported-1755246058431-ffyj9sebx,Põhja-Tallinna akustiline kontsert,Location: Veetorni Aed,music,Veetorni Aed,Veetorni Aed,59.436962,24.753574,59.437,24.754,2025-08-14,18:00,Local Organizer,172,,True
imported-1755246058431-op4qwq7wr,PROMO Cash&Carry Akadeemia Suviselt värske Kreeka,Location: Gastro Studio,other,Gastro Studio,Gastro Studio,59.436962,24.753574,59.4280269,24.8236877,2025-08-14,18:00,Local Organizer,109,,True
imported-1755246058431-5snfqqtpo,BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,Location: BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,other,BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,59.436962,24.753574,59.4562226,24.6734412,2025-08-15,23:00,Local Organizer,139,,True
imported-1755246058431-cx0teicsb,Botik,Location: Kummituste jaht Tallinna vanalinnas,other,Kummituste jaht Tallinna vanalinnas,Kummituste jaht Tallinna vanalinnas,59.436962,24.753574,59.4372,24.7453,2025-08-15,12:00,Local Organizer,179,,True
imported-1755246058431-4po3vjh8y,G-Spot bar (Gin Spot Bar for Ladies),Location: Stand-up show: Tund eestlaste kolmnurgas,other,Stand-up show: Tund eestlaste kolmnurgas,Stand-up show: Tund eestlaste kolmnurgas,59.436962,24.753574,59.4378,24.7536,2025-08-15,12:00,Local Organizer,95,,True
imported-1755246058431-jk9d84ewy,Patarei Merekindlus,Location: BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,other,BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,BOMBOSSA x BOTIK | 5 SÜNNIPÄEVAPIDU,59.436962,24.753574,,,2025-08-15,12:00,Local Organizer,70,,True
imported-1755246058431-hf47i4ezr,Tallinna Botaanikaaed,Location: Lastemuuseum Miiamilla muuseumipilet,art,Lastemuuseum Miiamilla muuseumipilet,Lastemuuseum Miiamilla muuseumipilet,59.436962,24.753574,59.4416,24.7947,2025-08-15,12:00,Local Organizer,89,,True
imported-1755246058431-1oft9v0df,Velvet,Location: LUUDE @ PATAREI MEREKINDLUS,other,LUUDE @ PATAREI MEREKINDLUS,LUUDE @ PATAREI MEREKINDLUS,59.436962,24.753574,,,2025-08-15,12:00,Local Organizer,15,,True
imported-1755246058431-ieawp38oe,Von Krahli teater,Location: Priit Salusoo Art exhibition  City Girl,other,Priit Salusoo Art exhibition  City Girl,Priit Salusoo Art exhibition  City Girl,59.436962,24.753574,59.4378,24.7536,2025-08-15,12:00,Local Organizer,112,,True
imported-1755246058431-zl8aoc3fj,Pirita kloostri varemed,Location: Ülemiste Ööjooks – Tallinn 2025,other,Ülemiste Ööjooks – Tallinn 2025,Ülemiste Ööjooks – Tallinn 2025,59.436962,24.753574,59.4378,24.7536,2025-08-15,12:00,Local Organizer,67,,True
imported-1755246058431-h8w2q30aj,Jazz meets Burlesque: Shane Hampsheir bänd (UK) & Rita Lynch (IT),Location: Jazz meets Burlesque: Shane Hampsheir bänd (UK) & Rita Lynch (IT),music,Jazz meets Burlesque: Shane Hampsheir bänd (UK) & Rita Lynch (IT),Jazz meets Burlesque: Shane Hampsheir bänd (UK) & Rita Lynch (IT),59.436962,24.753574,,,2025-08-15,21:30,Local Organizer,92,,True
